,Age,NHLid,Position,GP,G,A,PTS,+/-,TOI/GP,IPP%,PTS/GP,Seasons
470,32,8473933,D,82,1,6,7,-7,20.8,18.9,0.08536585365853659,9
471,23,8476392,C,82,15,14,29,1,16.05,52.7,0.35365853658536583,3
472,28,8473473,LW,82,23,27,50,-3,17.17,58.1,0.6097560975609756,10
473,24,8479648,LW,47,4,2,6,-2,9.58,50.0,0.1276595744680851,1
474,22,8476874,D,55,1,6,7,17,18.07,15.2,0.12727272727272726,4
475,31,8470667,LW,4,0,0,0,-1,13.48,0.0,0.0,1
476,30,8473584,D,73,2,16,18,-5,20.1,47.4,0.2465753424657534,9
477,35,8468001,C,82,6,10,16,-7,12.57,61.5,0.1951219512195122,14
478,21,8477492,C,82,16,37,53,-14,19.95,64.6,0.6463414634146342,4
479,19,8478843,C,47,6,4,10,-5,11.23,62.5,0.2127659574468085,1
480,30,8471215,C,62,33,39,72,18,18.62,77.4,1.1612903225806452,11
481,21,8477391,C,1,0,0,0,0,12.2,0.0,0.0,1
482,26,8475430,D,65,3,9,12,-12,18.05,33.3,0.18461538461538463,5
483,25,8476312,D,82,5,12,17,14,18.63,28.8,0.2073170731707317,3
484,22,8477511,RW,60,17,19,36,10,15.88,78.3,0.6,2
485,28,8473419,C,80,39,46,85,18,19.35,75.2,1.0625,8
486,24,8476289,D,41,1,7,8,7,16.95,32.0,0.1951219512195122,1
487,26,8476539,C,75,30,21,51,-21,16.92,73.9,0.68,4
488,24,8475716,D,25,1,6,7,3,18.05,35.0,0.28,4
489,38,8467496,D,62,6,30,36,18,21.83,55.4,0.5806451612903226,1
490,37,8466139,C,82,27,19,46,4,17.18,56.1,0.5609756097560976,19
491,19,8478483,C,77,19,42,61,0,16.73,72.6,0.7922077922077922,1
492,28,8474034,LW,81,27,15,42,13,16.73,54.5,0.5185185185185185,6
493,27,8474709,LW/RW,82,5,4,9,0,8.85,45.0,0.10975609756097561,8
494,35,8468542,D,81,4,22,26,10,19.23,42.6,0.32098765432098764,13
495,29,8474166,D,82,9,30,39,-17,21.63,50.6,0.47560975609756095,8
496,24,8476921,C,77,11,14,25,-8,15.68,56.8,0.3246753246753247,3
497,26,8478561,C,64,3,4,7,-14,9.95,70.0,0.109375,2
498,22,8476875,D,81,7,10,17,-5,21.05,28.3,0.20987654320987653,2
499,19,8479318,C,82,40,29,69,2,17.53,81.2,0.8414634146341463,1
500,28,8473574,C,45,8,4,12,0,13.57,54.5,0.26666666666666666,10
501,24,8476429,D,25,2,7,9,-1,14.13,45.0,0.36,3
502,28,8473571,D,3,0,0,0,-1,16.67,0.0,0.0,1
503,23,8476931,D,76,3,17,20,-7,20.7,30.8,0.2631578947368421,4
504,20,8477955,C,29,1,6,7,-1,11.63,53.8,0.2413793103448276,2
505,21,8477446,C,31,1,4,5,-4,9.88,55.6,0.16129032258064516,2
506,33,8469508,C,65,5,3,8,-8,11.38,53.3,0.12307692307692308,1
507,24,8476323,C,7,0,0,0,-3,6.77,0.0,0.0,2
508,21,8477452,D,3,0,1,1,0,13.25,100.0,0.3333333333333333,1
509,19,8478402,C,82,30,70,100,27,21.13,78.1,1.2195121951219512,2
510,27,8474151,D,77,6,36,42,20,24.35,43.8,0.5454545454545454,7
511,32,8470644,C,3,1,0,1,1,9.02,100.0,0.3333333333333333,1
512,22,8477091,D,1,0,0,0,-1,15.13,0.0,0.0,1
513,22,8476934,LW,57,7,9,16,-11,12.0,72.7,0.2807017543859649,2
514,28,8473465,LW/RW,72,9,8,17,-23,13.17,60.7,0.2361111111111111,9
515,24,8475795,D,6,1,0,1,-2,9.52,100.0,0.16666666666666666,1
516,24,8475735,C,46,3,4,7,-3,9.9,46.7,0.15217391304347827,4
517,25,8475310,LW,53,6,10,16,5,10.85,69.6,0.3018867924528302,3
518,32,8471657,LW/RW,59,5,1,6,-3,7.17,60.0,0.1016949152542373,10
519,25,8475188,D,49,2,2,4,1,15.07,21.1,0.08163265306122448,5
520,23,8476471,C,1,0,0,0,-1,13.82,0.0,0.0,1
521,30,8471717,D,77,2,8,10,4,18.12,20.8,0.12987012987012986,8
522,26,8475263,C,3,1,0,1,1,8.8,50.0,0.3333333333333333,1
523,24,8477034,D,1,0,0,0,1,15.33,0.0,0.0,1
524,26,8477126,C,58,4,4,8,-4,12.43,47.1,0.13793103448275862,4
525,20,8478414,RW,34,3,3,6,1,12.47,46.2,0.17647058823529413,1
526,25,8475815,D,18,0,2,2,0,18.37,22.2,0.1111111111111111,1
527,24,8475750,D,51,1,5,6,-9,18.75,24.0,0.11764705882352941,4
528,31,8470760,D,68,0,12,12,13,19.82,22.6,0.17647058823529413,11
529,32,8470599,LW/RW,5,1,1,2,-2,14.27,100.0,0.4,1
530,34,8469760,D,3,0,0,0,1,17.67,0.0,0.0,1
531,20,8477947,LW,4,0,0,0,-3,11.68,0.0,0.0,2
532,24,8476525,D,61,6,7,13,0,15.73,38.2,0.21311475409836064,2
533,32,8470778,LW/RW,55,5,2,7,-12,10.28,77.8,0.12727272727272726,1
534,23,8476468,C,82,22,34,56,17,16.37,78.9,0.6829268292682927,5
535,29,8476191,D,58,3,10,13,1,17.7,37.1,0.22413793103448276,4
536,25,8475291,RW,1,0,0,0,0,8.8,0.0,0.0,1
537,31,8470750,C,65,3,4,7,-12,12.55,50.0,0.1076923076923077,1
538,31,8471338,C,78,8,9,17,5,12.6,58.6,0.21794871794871795,9
539,23,8476619,RW,11,0,0,0,-1,8.43,0.0,0.0,1
540,22,8479969,C,5,0,0,0,-2,10.58,0.0,0.0,1
541,22,8477497,C,82,27,31,58,-1,17.58,71.6,0.7073170731707317,4
542,22,8477986,D,27,2,4,6,11,17.38,31.6,0.2222222222222222,1
543,36,8468575,C,82,11,14,25,2,12.88,75.8,0.3048780487804878,12
544,26,8475186,D,63,12,10,22,-7,18.85,52.4,0.3492063492063492,7
545,21,8477502,D,1,0,0,0,0,17.78,0.0,0.0,1
546,21,8477504,D,82,6,14,20,6,19.48,26.7,0.24390243902439024,2
547,24,8476476,D,17,0,1,1,-4,15.53,25.0,0.058823529411764705,3
548,21,8477353,C,33,4,3,7,2,11.38,63.6,0.21212121212121213,1
549,33,8470852,LW,81,14,18,32,-4,11.6,66.7,0.3950617283950617,10
550,21,8477509,D,4,1,1,2,2,9.3,66.7,0.5,3
551,23,8476473,D,77,2,15,17,-13,19.18,34.0,0.22077922077922077,4
552,23,8476465,D,27,0,2,2,-11,13.17,40.0,0.07407407407407407,5
553,23,8476850,D,60,2,9,11,3,18.33,26.2,0.18333333333333332,4
554,27,8474162,D,82,9,19,28,-21,22.3,39.4,0.34146341463414637,6
555,26,8474574,D,11,2,3,5,5,22.2,45.5,0.45454545454545453,8
556,29,8478562,D,3,0,0,0,-4,14.5,0.0,0.0,1
557,24,8476480,C,74,10,18,28,-4,14.78,50.0,0.3783783783783784,4
558,32,8470041,RW/LW,67,23,15,38,9,16.47,63.3,0.5671641791044776,14
559,27,8474062,C,81,7,10,17,-1,13.73,68.0,0.20987654320987653,6
560,29,8471707,RW/LW,70,23,18,41,-10,17.7,67.2,0.5857142857142857,9
561,37,8467493,RW,53,1,3,4,-11,7.57,66.7,0.07547169811320754,1
562,25,8475754,C,81,20,25,45,-6,15.65,71.4,0.5555555555555556,4
563,24,8479268,D,11,0,0,0,-3,12.6,0.0,0.0,2
564,24,8475747,D,40,0,3,3,-4,15.78,15.8,0.075,4
565,26,8474604,D,2,0,0,0,-1,12.83,0.0,0.0,4
566,23,8476300,D,48,4,13,17,0,16.28,53.1,0.3541666666666667,1
567,25,8475250,C,19,1,4,5,-3,10.9,83.3,0.2631578947368421,1
568,24,8475799,RW,82,25,32,57,17,15.07,68.7,0.6951219512195121,6
