Position_previous,GP_previous,G_previous,A_previous,PTS_previous,+/-_previous,TOI_previous,IPP%_previous,Shots_previous,Shots_missed_previous,Shots_cbar_previous,Shots_post_previous,Team_previous,Position_next,GP_next,G_next,A_next,PTS_next,+/-_next,TOI_next,IPP%_next,Shots_next,Shots_missed_next,Shots_cbar_next,Shots_post_next,Team_next,latest_PTS,latest_+/-,latest_A,latest_G,latest_TOI
2,75,10,13,23,4,59330,62.2,81,28,0,4,31,2,80,13,10,23,-1,74264,56.1,97,40,0,2,31,23,2,15,8,50187
2,72,12,25,37,-14,72972,74.0,149,50,0,2,33,2,79,26,25,51,-4,87336,64.6,185,54,2,0,33,33,1,18,15,79273
1,26,0,4,4,-1,22745,40.0,14,5,0,0,42,1,51,2,6,8,10,45700,25.8,39,17,0,1,42,13,1,10,3,61063
1,14,1,1,2,-1,9278,50.0,14,4,0,0,41,1,82,2,16,18,8,98971,34.6,100,39,0,3,41,18,18,17,1,97288
2,82,33,31,64,1,93739,73.6,247,118,3,7,45,2,82,31,27,58,-4,91109,69.9,234,120,1,6,45,64,27,38,26,70246
1,69,5,23,28,-8,94312,38.4,113,43,1,1,28,1,80,11,28,39,7,119271,39.4,186,57,1,4,28,32,3,24,8,99911
1,59,4,13,17,-5,59604,58.6,92,32,0,2,31,1,68,3,16,19,-5,75408,41.3,93,37,0,3,31,7,-1,6,1,22930
0,56,2,3,5,-11,42424,33.3,64,27,2,0,54,0,6,0,0,0,-3,3798,0.0,6,1,0,0,53,11,0,8,3,33349
3,64,15,17,32,1,60706,80.0,155,37,0,0,34,3,82,17,27,44,13,84044,62.9,202,66,1,2,34,25,-19,15,10,71075
3,54,12,10,22,-6,48420,75.9,142,41,0,1,41,3,56,10,11,21,-4,49693,60.0,123,42,1,3,41,21,2,10,11,38566
0,53,8,8,16,4,44077,55.2,87,33,1,2,49,0,81,18,32,50,10,66654,67.6,179,59,0,3,33,31,-18,21,10,67093
0,82,30,26,56,-8,79996,74.7,201,73,3,4,43,0,61,17,27,44,-5,58303,73.3,104,44,1,1,43,51,-31,32,19,79872
3,53,19,21,40,13,52712,69.0,173,39,0,3,43,3,64,10,19,29,7,57965,59.2,187,52,0,3,43,54,-13,23,31,79494
1,79,7,24,31,-15,97743,52.5,122,84,0,2,54,1,82,9,34,43,24,105945,39.1,127,61,1,1,54,52,9,47,5,110824
1,72,5,6,11,-4,79763,28.9,99,46,0,1,53,1,70,1,8,9,-8,77969,24.3,96,55,0,0,53,1,-2,1,0,9152
2,79,30,48,78,4,94471,89.7,217,62,3,5,34,2,72,18,43,61,-7,79882,80.3,182,52,0,7,34,84,2,60,24,93234
0,20,1,0,1,-9,15310,33.3,34,8,0,1,55,0,57,0,5,5,-2,32460,41.7,51,12,0,1,55,6,0,2,4,29548
0,7,0,1,1,-5,5815,50.0,3,3,1,0,54,0,21,2,1,3,2,12213,42.9,15,4,0,1,54,1,-4,0,1,4721
0,77,13,50,63,14,90117,85.1,178,93,3,2,28,0,74,15,58,73,7,93553,82.0,138,71,1,1,28,61,20,50,11,71990
3,79,12,21,33,-5,84052,68.8,169,48,0,3,31,3,82,15,20,35,-11,81698,76.1,149,52,3,0,31,7,-1,5,2,15681
1,82,21,35,56,-5,121981,54.9,212,78,2,4,34,1,81,12,27,39,22,114610,39.0,151,77,0,1,34,38,0,25,13,121955
1,74,2,15,17,18,90224,32.7,77,27,0,2,47,1,63,4,11,15,8,72208,31.3,56,24,0,1,47,18,18,12,6,80320
0,71,7,11,18,0,64054,62.1,110,27,0,4,31,0,75,7,9,16,-7,59218,72.7,112,33,0,2,31,15,-12,8,7,58404
0,78,22,45,67,-8,96157,84.8,241,61,2,5,49,0,82,14,44,58,-15,94082,59.8,199,79,0,2,49,102,28,68,34,100188
2,57,4,3,7,-3,35178,43.8,49,18,0,0,47,2,11,1,1,2,0,7201,100.0,8,7,0,0,47,0,-4,0,0,9005
0,81,8,13,21,4,70848,72.4,88,38,1,0,38,0,74,3,11,14,-10,57343,73.7,76,30,0,1,38,19,-14,8,11,54644
2,9,1,1,2,1,6040,66.7,7,6,0,0,51,3,14,3,0,3,0,9551,60.0,14,9,0,0,51,14,-14,6,8,28120
1,82,5,32,37,21,117262,40.7,127,55,0,1,37,1,82,6,30,36,-9,114780,43.9,112,40,1,3,29,35,-31,23,12,108938
